dataset,acquisition_scheme,sample_type,gradient_length_minutes
G260811_092_Slot2-1_1_24990.d,"diaPASEF; 20210518_diaPASEF_ramp0100ms_25Da_1_7scycletime_1600V.m","2025-296 HeLa 200ng/uL 11.08.2026 100ng, 25min",25
G260811_093_Slot2-1_1_24991.d,"diaPASEF; 20210518_diaPASEF_ramp0100ms_25Da_1_7scycletime_1600V.m","2026-060 HeLa 200ng/uL 11.08.2026 350ng, 41min",41
G260811_094_Slot2-2_1_24992.d,"diaPASEF; 20210518_diaPASEF_ramp0100ms_25Da_1_7scycletime_1600V.m",0.1% FA,41
G260811_095_Slot2-2_1_24993.d,"diaPASEF; 20210518_diaPASEF_ramp0100ms_25Da_1_7scycletime_1600V.m",0.1% FA,25
G260811_096_Slot1-1_1_24994.d,"diaPASEF; 20210518_diaPASEF_ramp0100ms_25Da_1_7scycletime_1600V.m",2026-149-01 Weyd Pulldown 200ng/uL PM,25
G260811_097_Slot1-2_1_24995.d,"diaPASEF; 20210518_diaPASEF_ramp0100ms_25Da_1_7scycletime_1600V.m",2026-149-02 Weyd,25
G260811_098_Slot1-3_1_24996.d,"diaPASEF; 20210518_diaPASEF_ramp0100ms_25Da_1_7scycletime_1600V.m",2026-149-03 Weyd,25
G260811_099_Slot1-4_1_24997.d,"diaPASEF; 20210518_diaPASEF_ramp0100ms_25Da_1_7scycletime_1600V.m",2026-149-04 Weyd,25
G260811_100_Slot1-5_1_24998.d,"diaPASEF; 20210518_diaPASEF_ramp0100ms_25Da_1_7scycletime_1600V.m",2026-149-05 Weyd,25
G260811_101_Slot1-6_1_24999.d,"diaPASEF; 20210518_diaPASEF_ramp0100ms_25Da_1_7scycletime_1600V.m",2026-149-06 Weyd,25
G260811_102_Slot2-2_1_25000.d,"diaPASEF; 20210518_diaPASEF_ramp0100ms_25Da_1_7scycletime_1600V.m",0.1% FA,41
G260811_103_Slot1-7_1_25001.d,"diaPASEF; 20210518_diaPASEF_ramp0100ms_25Da_1_7scycletime_1600V.m",2026-149-07 Weyd,25
G260811_104_Slot1-8_1_25002.d,"diaPASEF; 20210518_diaPASEF_ramp0100ms_25Da_1_7scycletime_1600V.m",2026-149-08 Weyd,25
G260811_105_Slot1-9_1_25003.d,"diaPASEF; 20210518_diaPASEF_ramp0100ms_25Da_1_7scycletime_1600V.m",2026-149-09 Weyd,25
G260811_106_Slot1-10_1_25004.d,"diaPASEF; 20210518_diaPASEF_ramp0100ms_25Da_1_7scycletime_1600V.m",2026-149-10 Weyd,25
G260811_107_Slot1-11_1_25005.d,"diaPASEF; 20210518_diaPASEF_ramp0100ms_25Da_1_7scycletime_1600V.m",2026-149-11 Weyd,25
G260811_108_Slot1-12_1_25006.d,"diaPASEF; 20210518_diaPASEF_ramp0100ms_25Da_1_7scycletime_1600V.m",2026-149-12 Weyd PM,25
